symbol,security_id,acquisition_status,structural_validation,raw_rows,session_rows,trading_days,bar_coverage_pct,out_of_session_rows_quarantined,duplicate_rows_removed,provider_ohlc_anomalies_quarantined,max_intraday_gap_minutes,feature_days_with_complete_opening10,feature_status,raw_1min_file,warning_reasons
360ONE,13061,ACQUIRED,OK,92010,92010,247,99.33603238866397,0,2977,0,1.0,246,AVAILABLE,raw_1min/360ONE.parquet,
3MINDIA,474,ACQUIRED,OK,92333,92309,247,99.65883940620782,24,2992,0,1.0,246,AVAILABLE,raw_1min/3MINDIA.parquet,out_of_session_rows_quarantined
AADHARHFC,23729,ACQUIRED,OK,92334,92310,247,99.65991902834008,24,2992,0,1.0,246,AVAILABLE,raw_1min/AADHARHFC.parquet,out_of_session_rows_quarantined
AARTIIND,7,ACQUIRED,OK,92334,92310,247,99.65991902834008,24,2992,0,1.0,246,AVAILABLE,raw_1min/AARTIIND.parquet,out_of_session_rows_quarantined
AAVAS,5385,ACQUIRED,OK,92334,92310,247,99.65991902834008,24,2992,0,1.0,246,AVAILABLE,raw_1min/AAVAS.parquet,out_of_session_rows_quarantined
ABB,13,ACQUIRED,OK,92010,92010,247,99.33603238866397,0,2977,0,1.0,246,AVAILABLE,raw_1min/ABB.parquet,
ABBOTINDIA,17903,ACQUIRED,OK,92334,92310,247,99.65991902834008,24,2992,0,1.0,246,AVAILABLE,raw_1min/ABBOTINDIA.parquet,out_of_session_rows_quarantined
ABCAPITAL,21614,ACQUIRED,OK,92010,92010,247,99.33603238866397,0,2977,0,1.0,246,AVAILABLE,raw_1min/ABCAPITAL.parquet,
ABDL,24308,ACQUIRED,OK,92334,92310,247,99.65991902834008,24,2992,0,1.0,246,AVAILABLE,raw_1min/ABDL.parquet,out_of_session_rows_quarantined
ABFRL,30108,ACQUIRED,OK,92334,92310,247,99.65991902834008,24,2992,0,1.0,246,AVAILABLE,raw_1min/ABFRL.parquet,out_of_session_rows_quarantined
ABLBL,756843,ACQUIRED,OK,92334,92310,247,99.65991902834008,24,2992,0,1.0,246,AVAILABLE,raw_1min/ABLBL.parquet,out_of_session_rows_quarantined
ABREL,625,ACQUIRED,OK,92334,92310,247,99.65991902834008,24,2992,0,1.0,246,AVAILABLE,raw_1min/ABREL.parquet,out_of_session_rows_quarantined
ABSLAMC,6018,ACQUIRED,OK,92334,92310,247,99.65991902834008,24,2992,0,1.0,246,AVAILABLE,raw_1min/ABSLAMC.parquet,out_of_session_rows_quarantined
ACC,22,ACQUIRED,OK,92334,92310,247,99.65991902834008,24,2992,0,1.0,246,AVAILABLE,raw_1min/ACC.parquet,out_of_session_rows_quarantined
ACE,13587,ACQUIRED,OK,92334,92310,247,99.65991902834008,24,2992,0,1.0,246,AVAILABLE,raw_1min/ACE.parquet,out_of_session_rows_quarantined
ACMESOLAR,27061,ACQUIRED,OK,92334,92310,247,99.65991902834008,24,2992,0,1.0,246,AVAILABLE,raw_1min/ACMESOLAR.parquet,out_of_session_rows_quarantined
ACUTAAS,5578,ACQUIRED,OK,92334,92310,247,99.65991902834008,24,2992,0,1.0,246,AVAILABLE,raw_1min/ACUTAAS.parquet,out_of_session_rows_quarantined
ADANIENSOL,10217,ACQUIRED,OK,92010,92010,247,99.33603238866397,0,2977,0,1.0,246,AVAILABLE,raw_1min/ADANIENSOL.parquet,
ADANIENT,25,ACQUIRED,OK,92010,92010,247,99.33603238866397,0,2977,0,1.0,246,AVAILABLE,raw_1min/ADANIENT.parquet,
ADANIGREEN,3563,ACQUIRED,OK,92010,92010,247,99.33603238866397,0,2977,0,1.0,246,AVAILABLE,raw_1min/ADANIGREEN.parquet,
ADANIPORTS,15083,ACQUIRED,OK,92010,92010,247,99.33603238866397,0,2977,0,1.0,246,AVAILABLE,raw_1min/ADANIPORTS.parquet,
ADANIPOWER,17388,ACQUIRED,OK,92010,92010,247,99.33603238866397,0,2977,0,1.0,246,AVAILABLE,raw_1min/ADANIPOWER.parquet,
AEGISLOG,40,ACQUIRED,OK,92334,92310,247,99.65991902834008,24,2992,0,1.0,246,AVAILABLE,raw_1min/AEGISLOG.parquet,out_of_session_rows_quarantined
AEGISVOPAK,757336,ACQUIRED,OK,92334,92310,247,99.65991902834008,24,2992,0,1.0,246,AVAILABLE,raw_1min/AEGISVOPAK.parquet,out_of_session_rows_quarantined
AFCONS,25977,ACQUIRED,OK,92334,92310,247,99.65991902834008,24,2992,0,1.0,246,AVAILABLE,raw_1min/AFCONS.parquet,out_of_session_rows_quarantined
AFFLE,11343,ACQUIRED,OK,92334,92310,247,99.65991902834008,24,2992,0,1.0,246,AVAILABLE,raw_1min/AFFLE.parquet,out_of_session_rows_quarantined
AIAENG,13086,ACQUIRED,OK,92334,92310,247,99.65991902834008,24,2992,0,1.0,246,AVAILABLE,raw_1min/AIAENG.parquet,out_of_session_rows_quarantined
AIIL,23553,ACQUIRED,OK,92334,92310,247,99.65991902834008,24,2992,0,1.0,246,AVAILABLE,raw_1min/AIIL.parquet,out_of_session_rows_quarantined
AJANTPHARM,8124,ACQUIRED,OK,92334,92310,247,99.65991902834008,24,2992,0,1.0,246,AVAILABLE,raw_1min/AJANTPHARM.parquet,out_of_session_rows_quarantined
ALKEM,11703,ACQUIRED,OK,92010,92010,247,99.33603238866397,0,2977,0,1.0,246,AVAILABLE,raw_1min/ALKEM.parquet,
AMBER,1185,ACQUIRED,OK,92010,92010,247,99.33603238866397,0,2977,0,1.0,246,AVAILABLE,raw_1min/AMBER.parquet,
AMBUJACEM,1270,ACQUIRED,OK,92010,92010,247,99.33603238866397,0,2977,0,1.0,246,AVAILABLE,raw_1min/AMBUJACEM.parquet,
ANANDRATHI,7145,ACQUIRED,OK,92334,92310,247,99.65991902834008,24,2992,0,1.0,246,AVAILABLE,raw_1min/ANANDRATHI.parquet,out_of_session_rows_quarantined
ANANTRAJ,13620,ACQUIRED,OK,92334,92310,247,99.65991902834008,24,2992,0,1.0,246,AVAILABLE,raw_1min/ANANTRAJ.parquet,out_of_session_rows_quarantined
ANGELONE,324,ACQUIRED,OK,92010,92010,247,99.33603238866397,0,2977,0,1.0,246,AVAILABLE,raw_1min/ANGELONE.parquet,
ANTHEM,757885,ACQUIRED,OK,92334,92310,247,99.65991902834008,24,2992,0,1.0,246,AVAILABLE,raw_1min/ANTHEM.parquet,out_of_session_rows_quarantined
ANURAS,2829,ACQUIRED,OK,92334,92310,247,99.65991902834008,24,2992,0,1.0,246,AVAILABLE,raw_1min/ANURAS.parquet,out_of_session_rows_quarantined
APARINDS,11491,ACQUIRED,OK,92334,92310,247,99.65991902834008,24,2992,0,1.0,246,AVAILABLE,raw_1min/APARINDS.parquet,out_of_session_rows_quarantined
APLAPOLLO,25780,ACQUIRED,OK,92010,92010,247,99.33603238866397,0,2977,0,1.0,246,AVAILABLE,raw_1min/APLAPOLLO.parquet,
APOLLOHOSP,157,ACQUIRED,OK,92010,92010,247,99.33603238866397,0,2977,0,1.0,246,AVAILABLE,raw_1min/APOLLOHOSP.parquet,
APOLLOTYRE,163,ACQUIRED,OK,92334,92310,247,99.65991902834008,24,2992,0,1.0,246,AVAILABLE,raw_1min/APOLLOTYRE.parquet,out_of_session_rows_quarantined
APTUS,5435,ACQUIRED,OK,92334,92310,247,99.65991902834008,24,2992,0,1.0,246,AVAILABLE,raw_1min/APTUS.parquet,out_of_session_rows_quarantined
ARE&M,100,ACQUIRED,OK,92334,92310,247,99.65991902834008,24,2992,0,1.0,246,AVAILABLE,raw_1min/ARE_M.parquet,out_of_session_rows_quarantined
ASAHIINDIA,5378,ACQUIRED,OK,92334,92310,247,99.65991902834008,24,2992,0,1.0,246,AVAILABLE,raw_1min/ASAHIINDIA.parquet,out_of_session_rows_quarantined
ASHOKLEY,212,ACQUIRED,OK,92010,92010,247,99.33603238866397,0,2977,0,1.0,246,AVAILABLE,raw_1min/ASHOKLEY.parquet,
ASIANPAINT,236,ACQUIRED,OK,92010,92010,247,99.33603238866397,0,2977,0,1.0,246,AVAILABLE,raw_1min/ASIANPAINT.parquet,
ASTERDM,1508,ACQUIRED,OK,92334,92310,247,99.65991902834008,24,2992,0,1.0,246,AVAILABLE,raw_1min/ASTERDM.parquet,out_of_session_rows_quarantined
ASTRAL,14418,ACQUIRED,OK,92010,92010,247,99.33603238866397,0,2977,0,1.0,246,AVAILABLE,raw_1min/ASTRAL.parquet,
ATGL,6066,ACQUIRED,OK,92334,92310,247,99.65991902834008,24,2992,0,1.0,246,AVAILABLE,raw_1min/ATGL.parquet,out_of_session_rows_quarantined
ATHERENERG,757645,ACQUIRED,OK,92289,92265,247,99.61133603238866,24,2992,0,1.0,246,AVAILABLE,raw_1min/ATHERENERG.parquet,out_of_session_rows_quarantined
ATUL,263,ACQUIRED,OK,92333,92309,247,99.65883940620782,24,2992,0,1.0,245,AVAILABLE,raw_1min/ATUL.parquet,out_of_session_rows_quarantined
AUBANK,21238,ACQUIRED,OK,92010,92010,247,99.33603238866397,0,2977,0,1.0,246,AVAILABLE,raw_1min/AUBANK.parquet,
AUROPHARMA,275,ACQUIRED,OK,92010,92010,247,99.33603238866397,0,2977,0,1.0,246,AVAILABLE,raw_1min/AUROPHARMA.parquet,
AWL,8110,ACQUIRED,OK,92334,92310,247,99.65991902834008,24,2992,0,1.0,246,AVAILABLE,raw_1min/AWL.parquet,out_of_session_rows_quarantined
AXISBANK,5900,ACQUIRED,OK,92010,92010,247,99.33603238866397,0,2977,0,1.0,246,AVAILABLE,raw_1min/AXISBANK.parquet,
BAJAJ-AUTO,16669,ACQUIRED,OK,92010,92010,247,99.33603238866397,0,2977,0,1.0,246,AVAILABLE,raw_1min/BAJAJ-AUTO.parquet,
BAJAJFINSV,16675,ACQUIRED,OK,92010,92010,247,99.33603238866397,0,2977,0,1.0,246,AVAILABLE,raw_1min/BAJAJFINSV.parquet,
BAJAJHFL,25270,ACQUIRED,OK,92334,92310,247,99.65991902834008,24,2992,0,1.0,246,AVAILABLE,raw_1min/BAJAJHFL.parquet,out_of_session_rows_quarantined
