symbol,security_id,exchange_segment,instrument,universe,Company Name,Industry,Series,ISIN Code,batch_number,batch_size
360ONE,13061,NSE_EQ,EQUITY,NIFTY500,360 ONE WAM Ltd.,Financial Services,EQ,INE466L01038,1,50
3MINDIA,474,NSE_EQ,EQUITY,NIFTY500,3M India Ltd.,Diversified,EQ,INE470A01017,1,50
AADHARHFC,23729,NSE_EQ,EQUITY,NIFTY500,Aadhar Housing Finance Ltd.,Financial Services,EQ,INE883F01010,1,50
AARTIIND,7,NSE_EQ,EQUITY,NIFTY500,Aarti Industries Ltd.,Chemicals,EQ,INE769A01020,1,50
AAVAS,5385,NSE_EQ,EQUITY,NIFTY500,Aavas Financiers Ltd.,Financial Services,EQ,INE216P01012,1,50
ABB,13,NSE_EQ,EQUITY,NIFTY500,ABB India Ltd.,Capital Goods,EQ,INE117A01022,1,50
ABBOTINDIA,17903,NSE_EQ,EQUITY,NIFTY500,Abbott India Ltd.,Healthcare,EQ,INE358A01014,1,50
ABCAPITAL,21614,NSE_EQ,EQUITY,NIFTY500,Aditya Birla Capital Ltd.,Financial Services,EQ,INE674K01013,1,50
ABDL,24308,NSE_EQ,EQUITY,NIFTY500,Allied Blenders and Distillers Ltd.,Fast Moving Consumer Goods,EQ,INE552Z01027,1,50
ABFRL,30108,NSE_EQ,EQUITY,NIFTY500,Aditya Birla Fashion and Retail Ltd.,Consumer Services,EQ,INE647O01011,1,50
ABLBL,756843,NSE_EQ,EQUITY,NIFTY500,Aditya Birla Lifestyle Brands Ltd.,Consumer Services,EQ,INE14LE01019,1,50
ABREL,625,NSE_EQ,EQUITY,NIFTY500,Aditya Birla Real Estate Ltd.,Realty,EQ,INE055A01016,1,50
ABSLAMC,6018,NSE_EQ,EQUITY,NIFTY500,Aditya Birla Sun Life AMC Ltd.,Financial Services,EQ,INE404A01024,1,50
ACC,22,NSE_EQ,EQUITY,NIFTY500,ACC Ltd.,Construction Materials,EQ,INE012A01025,1,50
ACE,13587,NSE_EQ,EQUITY,NIFTY500,Action Construction Equipment Ltd.,Capital Goods,EQ,INE731H01025,1,50
ACMESOLAR,27061,NSE_EQ,EQUITY,NIFTY500,ACME Solar Holdings Ltd.,Power,EQ,INE622W01025,1,50
ACUTAAS,5578,NSE_EQ,EQUITY,NIFTY500,Acutaas Chemicals Ltd.,Healthcare,EQ,INE00FF01025,1,50
ADANIENSOL,10217,NSE_EQ,EQUITY,NIFTY500,Adani Energy Solutions Ltd.,Power,EQ,INE931S01010,1,50
ADANIENT,25,NSE_EQ,EQUITY,NIFTY500,Adani Enterprises Ltd.,Metals & Mining,EQ,INE423A01024,1,50
ADANIGREEN,3563,NSE_EQ,EQUITY,NIFTY500,Adani Green Energy Ltd.,Power,EQ,INE364U01010,1,50
ADANIPORTS,15083,NSE_EQ,EQUITY,NIFTY500,Adani Ports and Special Economic Zone Ltd.,Services,EQ,INE742F01042,1,50
ADANIPOWER,17388,NSE_EQ,EQUITY,NIFTY500,Adani Power Ltd.,Power,EQ,INE814H01029,1,50
AEGISLOG,40,NSE_EQ,EQUITY,NIFTY500,Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,EQ,INE208C01025,1,50
AEGISVOPAK,757336,NSE_EQ,EQUITY,NIFTY500,Aegis Vopak Terminals Ltd.,Oil Gas & Consumable Fuels,EQ,INE0INX01018,1,50
AFCONS,25977,NSE_EQ,EQUITY,NIFTY500,Afcons Infrastructure Ltd.,Construction,EQ,INE101I01011,1,50
AFFLE,11343,NSE_EQ,EQUITY,NIFTY500,Affle 3i Ltd.,Information Technology,EQ,INE00WC01027,1,50
AIAENG,13086,NSE_EQ,EQUITY,NIFTY500,AIA Engineering Ltd.,Capital Goods,EQ,INE212H01026,1,50
AIIL,23553,NSE_EQ,EQUITY,NIFTY500,Authum Investment & Infrastructure Ltd.,Financial Services,EQ,INE206F01022,1,50
