gap_rank,symbol,valid_sessions,median_abs_gap_pct,p75_abs_gap_pct,p90_abs_gap_pct,p95_abs_gap_pct,p99_abs_gap_pct,mean_abs_gap_pct,gap_up_0.5_rate,gap_down_0.5_rate,gap_up_0.75_rate,gap_down_0.75_rate,gap_up_1_rate,gap_down_1_rate,large_gap_0.5_rate,large_gap_0.75_rate,large_gap_1_rate,max_abs_gap_pct,gap_burden_rank
1,CASTROLIND,245,0.0017682992176615,0.0036136824909658,0.00586144555360814,0.008365213279125056,0.020818063523085562,0.0028548966146844344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0300067256454031,0.1265
2,HINDUNILVR,244,0.0023122426861491,0.004546222320539,0.00801462781391695,0.012015786349843358,0.02478527680028105,0.003710221627580308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033640293177974,0.14
3,IRCTC,245,0.0021082220660575,0.0044052863436123,0.00801136848526356,0.012516485068216473,0.02742789811927473,0.003571555360613551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333462582396277,0.14150000000000001
4,ITC,245,0.001921087631151,0.0041652204095801,0.007038415119263359,0.012878140736192107,0.020609922700313865,0.0032478490349515153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0312576015567986,0.14200000000000002
5,COALINDIA,245,0.0022129653736007,0.0045443380004912,0.00778284328759896,0.01287661284237524,0.030171983461669667,0.00376539000619763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0590041675806097,0.14300000000000002
6,COLPAL,245,0.0022292993630572,0.0044943820224718,0.00904585497768302,0.012038382555455774,0.021958097208831955,0.003616422580473123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046237915090374,0.1445
7,ACC,245,0.0023204360261184,0.0048384495457234,0.00919143066491246,0.01205445250167908,0.02177150437276088,0.0037795392033898264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0268656716417909,0.1505
8,CIPLA,245,0.0025325119780972,0.0052910052910053,0.00907966896886194,0.011897498310791418,0.02591026816438589,0.0041066551607159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0384176492963104,0.152
9,GLAXO,245,0.0026522226372804,0.0055863539445628,0.009235197368421,0.011676959206334611,0.01943322805060374,0.003960202642684719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0270833333333333,0.1565
10,ABB,245,0.0025277075636788,0.0051595643034587,0.0088832428917227,0.012868791134144433,0.03429818149460863,0.0042908303661568885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0496433666191155,0.157
11,TATAPOWER,245,0.001905799074326,0.0044969083754917,0.007787569573283759,0.014121018201464849,0.03469973663145495,0.00399419217425088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0670484371271773,0.159
12,HAL,245,0.0023299906343512,0.0049388018037364,0.009512169781916699,0.01228295970895239,0.026620451789700787,0.004011583304807224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0367871136264693,0.159
13,NTPC,245,0.0022977941176469,0.0047967684928047,0.00879841870667546,0.013943707538013498,0.027113393741271613,0.00394913426184015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0446276665357937,0.1665
14,NESTLEIND,245,0.0028995279838165,0.0056474110362658,0.008401885694000718,0.012106751258533853,0.023879542609863264,0.004110488101091915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0316195588358634,0.16999999999999998
15,DIVISLAB,245,0.0029154518950438,0.0062747883738827,0.00901923125462686,0.011374566127252383,0.02070491140169883,0.004116079186706297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036487322201608,0.17
16,ARE&M,245,0.0026969013154274,0.0056985294117646,0.008999437835903876,0.013557354649176718,0.0436161244902811,0.004728077882135597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0559358036346471,0.173
17,NHPC,245,0.0025412960609911,0.0047593865679533,0.009212005204377779,0.013740663744520876,0.03207270975128376,0.004184137947842885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0504657305713887,0.175
18,TORNTPOWER,245,0.0028593346816374,0.0057744027843695,0.00879353411407306,0.013050274544902733,0.03258212861917604,0.004540893172533354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0472234647581315,0.178
19,DABUR,245,0.0026732862325761,0.0052418394091017,0.009144850259497959,0.013918952826150554,0.03132858618860116,0.00434664594906579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0408990420044215,0.1805
20,SUNPHARMA,245,0.0028389339513326,0.0054149499705709,0.009513514105184698,0.012878451591625534,0.026630142271521526,0.004403137036707335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0497268095033458,0.1855
21,DMART,245,0.0026616564897447,0.0053917050691243,0.01015770650385874,0.012334173844002578,0.029325113082508517,0.004405829740931718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040207522697795,0.186
22,ZYDUSLIFE,245,0.0029592533576143,0.0056521739130435,0.009244423317261118,0.012396720073854551,0.0284407091305612,0.0044442093020831954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0476073499066522,0.188
23,SUPREMEIND,245,0.0028572244921283,0.0058345069410512,0.009786154698961777,0.01245324931784028,0.023717874638864392,0.004501797219643782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0547765118317264,0.1895
24,FORTIS,245,0.0031085353003161,0.0061479869423285,0.0090427960197889,0.01163185076314752,0.02188406050474603,0.004300049703382134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0385126868450449,0.1905
25,MARICO,245,0.0028365850283658,0.0058395974405167,0.009594610474275478,0.01336462568885394,0.024251320968209433,0.004468306001540475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0296023463610941,0.191
26,BOSCHLTD,245,0.0028459140804986,0.0053333333333334,0.009732045488165178,0.013352179464221218,0.023882093536033277,0.00421931574120862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0415296052631579,0.1955
27,BRITANNIA,245,0.002276707530648,0.0044130626654897,0.008784515539407999,0.015258422199147574,0.03733686906076674,0.004244790256115129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0514624841034336,0.197
28,GRASIM,245,0.003154574132492,0.0052932761087267,0.00853789425682012,0.012308165734832397,0.02727806597959115,0.004421243777748765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0343957311796943,0.19924999999999998
29,GLENMARK,245,0.0030408340573413,0.0058716339339947,0.009822412354261779,0.011662885083218952,0.024570694744590473,0.004317969433697312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0378732702112163,0.1995
30,LICHSGFIN,245,0.0025285552358532,0.0050338818973862,0.009912696388989058,0.014172520336636648,0.02803486578088284,0.0041351577357969325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0313653136531365,0.2
31,RELIANCE,245,0.0030346920477274,0.0056139898044783,0.00909390105732668,0.013269949497552959,0.024193773987206884,0.004578507600116846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0626532083633741,0.2005
32,GAIL,245,0.0022779043280183,0.0058419657913755,0.009871167949684475,0.014635592320840753,0.03484422657887971,0.004738717736197516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0645301466594242,0.2015
33,TORNTPHARM,245,0.0032479848269322,0.006023416879103,0.008780462791433978,0.01177210990816292,0.02014371226418159,0.004246262078430389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0332179930795847,0.202
34,ABBOTINDIA,245,0.0032614604094944,0.0060378590078329,0.0083007789830303,0.010843483718604626,0.01967319090001826,0.004127799753381496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0236220472440944,0.2025
35,BAJAJHFL,245,0.0022883295194507,0.0049261083743841,0.009602464675567919,0.0150234741784036,0.04841133446783356,0.004549244566040451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0720910220862415,0.20550000000000002
36,YESBANK,245,0.0022172949002217,0.0043956043956043,0.009693916671982319,0.015230824022327352,0.03250231532666142,0.004136378177167312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0425179458862505,0.2095
37,UNITDSPR,245,0.0031152647975077,0.0058475203552924,0.009428593718141401,0.01289243017596399,0.026328078421461676,0.004442497987664893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0400285918513223,0.21150000000000002
38,TATACONSUM,245,0.0028186943080561,0.0054005400540053,0.009695515855480358,0.014479211530588988,0.023044928086751695,0.004295137256583821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0286046303745418,0.212
39,POLYCAB,245,0.0027100271002709,0.0054233536247925,0.010235226969476194,0.01438543506876824,0.02975927482964422,0.00456333707369904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0488271561193396,0.218
40,RECLTD,245,0.0028901734104046,0.0059395248380131,0.009508087578753118,0.01472389040504255,0.029837878011903126,0.0045855561694735335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0476658476658478,0.2195
